,name,number_of_employees,sector,headquarters,company_website,linkedin,facebook,twitter,instagram
66,QualitaHUB,105,Servicios y consultoría IT,Barcelona,http://www.qualitahub.com,https://www.linkedin.com/company/qualitahub/,https://www.facebook.com/QualitaHUB,https://twitter.com/QualitaHUB,https://www.instagram.com/qualitahub/
67,Odigo,180,Software,Madrid,https://www.prosodie.es/,https://www.linkedin.com/company/odigo/,,https://twitter.com/OdigoEs,https://www.instagram.com/odigo_tm/
68,Warner Music Spain,83,Música,Madrid,http://warnermusic.es,https://www.linkedin.com/company/warner-music-spain,https://es-es.facebook.com/warnermusicspain/,https://twitter.com/warnermusices,https://www.instagram.com/warnermusicspain/?hl=es
69,TDCX,160,Telephone Support/Sales Centers,Barcelona,https://www.tdcx.com/,,,,
70,The Kraft Heinz Company,350,Alimentación,"Oficinas comerciales en Madrid y Fábrica en Alfaro, La Rioja",https://www.kraftheinzcompany.com/,https://www.linkedin.com/company/the-kraft-heinz-company/,https://www.facebook.com/kraftheinzcompany,https://twitter.com/kraftheinzco?lang=en,https://www.instagram.com/kraftheinzus/
71,Bacardi,342,Consumo,Barcelona,http://www.bacardilimited.com,https://www.linkedin.com/company/bacardi/,,https://twitter.com/BacardiLimited,https://www.instagram.com/bacardi
72,AIMPLAS,220,I+D+i,Valencia,https://www.aimplas.es/,https://es.linkedin.com/company/aimplas,https://www.facebook.com/aimplas,https://twitter.com/AIMPLAS,https://www.instagram.com/aimplas_research/
73,Devesa & Calvo Abogados,19,"Banca, Finanzas y Seguros",Alicante,http://devesaycalvo,https://www.linkedin.com/company/devesa-&-calvo-abogados/,https://www.facebook.com/devesaycalvo,https://twitter.com/devesaycalvo,
74,Trek Bicycle South West Europe,104,Comercio al por mayor de bicicletas,Madrid,http://www.trekbikes.com,https://www.linkedin.com/company/trekbikes/,https://www.facebook.com/TrekBicycleEspana/,https://twitter.com/TrekBikesSpain,https://www.instagram.com/trekbikesspain/
75,Ipsen España,123,Biotecnología y farmacéutica,Barcelona,https://www.ipsen.com/spain/,,,,
76,COSMO,21,Televisión,Madrid,https://www.canalcosmo.es/,https://www.linkedin.com/company/canalcosmo/,https://www.facebook.com/CanalCOSMOspain/,https://twitter.com/CanalCOSMO,https://www.instagram.com/canalcosmo/
77,Volkswagen Financial Services,476,"Banca, Finanzas y Seguros",Madrid y Barcelona,http://www.vwfs.es,https://www.linkedin.com/company/volkswagen-financial-services-spain/?viewAsMember=true,,,
78,Selier Abogados,29,Servicios jurídicos,Madrid,https://selierabogados.com/,https://www.linkedin.com/company/15821661,https://www.facebook.com/selierabogados/,https://twitter.com/selierAbogados,https://www.instagram.com/selier_abogados/
79,Atisa,200,Outsourcing y consultoría,Madrid,https://atisa.es/ ,https://www.linkedin.com/company/grupo-atisa/ ,https://www.facebook.com/Atisa-171277706230905/ ,https://twitter.com/GrupoAtisa ,https://www.instagram.com/weareatisa/ 
